index,data_ocorrencia,modelo,registro,operador,local_acidente,numero_de_vitimas,ano,mes,mes_nome
878,2011-11-26 00:00:00,CIRRUS SR20 G3,PR-LJL,PRIVATE,"NEAR ANGICOS, ABOUT 18KM NORTH OF CARMO DO CAJARU, MINAS GERAIS",2,2011,11,NOVEMBRO
879,2011-11-20 00:00:00,CESSNA 210L CENTURION,PT-IOT,PRIVATE,ALTO ALEGRE,1,2011,11,NOVEMBRO
880,2011-11-12 00:00:00,CESSNA 210N,PT-VMG,PRIVATE,"NEAR POCONÉ MUNICIPAL AIRPORT, CUIABA, MATO GROSSO",4,2011,11,NOVEMBRO
881,2011-11-02 00:00:00,RANS S-6ES COYOTE II,PU-FTT,PRIVATE,"SANTA CLARA D'OESTE, SAO PAULO",2,2011,11,NOVEMBRO
882,31-OCT-2011,PIPER PA-32,PT-*,PRIVATE,RIBEIRÃO PRETO,0,2011,10,OUTUBRO
883,30-OCT-2011,EMBRAER ERJ-190AR (ERJ-190-100 IGW),PR-AZF,AZUL LINHAS AÉREAS BRASILEIRAS,"TIMON, PE",0,2011,10,OUTUBRO
884,15-OCT-2011,EUROCOPTER BO 105CBS-5,PR-MET,OMNI TAXÍ AÉREO,"CARAUARI AIRPORT, AM",0,2011,10,OUTUBRO
885,11-OCT-2011,ROBINSON R22 BETA,PT-YEC,GOLDENFLY AVIATION ESCOLA DE AVIAÇÃO CIVIL,"TIETÊ ECOLOGICAL PARK, EASTERN ZONE OF SÃO PAULO",0,2011,10,OUTUBRO
886,07-OCT-2011,CESSNA 550 CITATION II,PT-LJJ,SAFRA LEASING,"MANHUAÇU-ELIAS BREDER AIRPORT - SNJM, MG",0,2011,10,OUTUBRO
887,01-OCT-2011,BEECHCRAFT V35 BONANZA,PT-CTL,PRIVATE,"NEAR MARABÁ PAULISTA, SÃO PAULO",4,2011,10,OUTUBRO
888,01-OCT-2011,CHRISTEN EAGLE II,PR-ZRT,PRIVATE,"AEROPORTO DE BACACHERI - SBBI, CURITIBA",1,2011,10,OUTUBRO
889,29-SEP-2011,BEECHCRAFT D35 BONANZA,PT-AVK,PRIVATE,"SANTAREM, PA",2,2011,9,SETEMBRO
890,26-SEP-2011,BELL 206L-4 LONGRANGER IV,PR-HLB,IBAMA,"ITAITUBA, PA",0,2011,9,SETEMBRO
891,18-SEP-2011,PIPER PA-34-220T SENECA V,PT-GCC,PRIVATE,"ABOUT 10KM FROM JATAI, GO",1,2011,9,SETEMBRO
892,18-SEP-2011,IPE KW1 QUERO-QUERO,PT-PFH,AEROCLUBE DE RIO CLARO,"RIO CLARO, SP",1,2011,9,SETEMBRO
893,17-SEP-2011,VAN'S RV-10,PT-ZFN,PRIVATE,"COROATA, MA",0,2011,9,SETEMBRO
894,17-SEP-2011,VAN'S RV-10,PT-ZDO,PRIVATE,"VARGEM GRANDE, SP",0,2011,9,SETEMBRO
895,14-SEP-2011,EMBRAER EMB-720C MINUANO (PA-32-300),PT-RBT,PRIVATE,GOIANIA,0,2011,9,SETEMBRO
896,13-SEP-2011,BEECHCRAFT G58 BARON,PP-KST,PRIVATE,"NEAR MARINGA , PR",3,2011,9,SETEMBRO
897,10-SEP-2011,ROBINSON R44 RAVEN II,PR-CEC,NAT AERO TÁXI,"ALTO DE BOA VISTA, RIO DE JANEIRO",2,2011,9,SETEMBRO
898,30-AUG-2011,ROBINSON R44 RAVEN II,PP-CLE,PRIVATE,NEAR MARESIAS,3,2011,8,AGOSTO
